track_id,cnn_emb_0,cnn_emb_1,cnn_emb_2,cnn_emb_3,cnn_emb_4,cnn_emb_5,cnn_emb_6,cnn_emb_7,cnn_emb_8,cnn_emb_9,cnn_emb_10,cnn_emb_11,cnn_emb_12,cnn_emb_13,cnn_emb_14,cnn_emb_15,cnn_emb_16,cnn_emb_17,cnn_emb_18,cnn_emb_19,cnn_emb_20,cnn_emb_21,cnn_emb_22,cnn_emb_23,cnn_emb_24,cnn_emb_25,cnn_emb_26,cnn_emb_27,cnn_emb_28,cnn_emb_29,cnn_emb_30,cnn_emb_31
2537685,3.9976833,2.131353,-3.6442971,-0.7094113,0.6849649,-0.346027,2.4332287,1.0174865,-1.0529251,-0.3127796,-2.1443686,1.1199571,0.87725914,-1.6015662,1.4936683,-1.214813,-2.0985005,-0.5636208,0.2394784,0.9018641,-2.8680198,1.6774052,1.744549,1.5776553,3.897733,2.1467807,1.8156614,-1.5646191,2.2077572,-0.09311323,0.06958519,-2.0494678
2538937,-0.0018814728,0.58965653,1.234887,-4.063936,0.29598042,-1.4370555,1.814342,1.5056161,-1.1770049,-0.6774661,2.4766436,-3.0602348,-0.13196099,-0.5521585,-2.447531,-0.115897045,1.6955032,-2.2530537,-2.3355255,-1.6876903,-0.756196,1.0811534,2.6032906,-2.9082115,0.07023133,3.9215817,2.713155,-0.78260785,-3.5892498,-0.34241217,0.96083045,1.1929234
2539560,0.8840371,2.4924772,-1.985458,-0.14700733,1.1656132,-2.3747718,2.3058264,-2.0424936,-1.9350883,-1.6965997,-1.7718368,1.8556448,0.9351389,-2.897381,0.117479794,-0.051018443,-0.9319574,0.8307114,-1.1130818,2.065088,0.5608486,-0.7958386,3.7586353,-0.5550386,0.5072843,-0.9658455,0.97867346,1.1740438,-1.293889,0.47737533,0.043042265,-0.21200255
2541207,-0.2617203,-0.13270003,-0.40105152,0.37826744,-2.25204,-0.63180983,1.5286227,1.197025,4.039133,-3.1752687,-2.3389318,0.75470567,-0.661201,0.6581853,0.23709726,-0.1590954,1.0144011,0.6955025,1.4565839,-0.46151656,0.35412425,0.4102618,1.2582217,1.037596,0.88826406,1.2989676,-0.24692693,-1.6336876,-2.1533194,-0.14937115,-0.4389032,-0.1897744
2541221,-0.18546723,0.047929555,-0.4430726,0.077661395,-2.083095,-0.49164453,1.3481293,1.040027,3.4919899,-3.1889577,-2.7081368,0.6968869,-0.7760132,1.1697443,-0.04579834,0.045908466,1.491426,0.20377758,1.8652109,-0.0636142,0.2073989,1.0915985,1.255263,0.49172553,1.1290563,1.0192957,-0.7278259,-1.1940678,-2.3508315,0.005965464,-0.5321069,-0.048443716
2541333,-0.23303004,-0.15039688,-0.8486481,0.007790955,-2.0677009,-0.23312998,1.523976,0.8145186,3.162078,-3.0218668,-2.6595204,0.5742555,-0.5103097,1.0400642,0.10845896,-0.17809783,1.6831897,0.42309105,1.8364868,0.1451872,0.34198922,0.87369114,1.309518,0.8851937,1.1244918,1.177315,-0.48454246,-1.5317953,-2.1699488,-0.3270109,-0.44180387,0.14457515
2541877,-0.41882154,-0.843791,0.66217583,-2.1928113,1.698105,-1.7580949,-0.3369457,1.6895925,-0.8482727,-1.2548765,2.4064412,-2.3203833,0.4592011,0.28978637,-1.289666,0.11591928,1.8735281,-1.7942667,-1.4969825,-0.5129847,-0.6134629,0.20824958,0.81675833,-0.9029455,-1.067968,3.159346,1.0634501,0.14330582,-2.9236255,0.53269523,1.0678003,0.45839804
2543060,0.2702184,0.57384956,-0.6569281,0.6995877,0.051309038,0.29667693,-0.65192676,0.8033591,1.5852926,-0.14470989,0.7474729,0.86982673,-0.8281238,-0.77546567,-1.185343,-0.061949752,-0.14186057,-0.19035465,-0.6941351,-0.5050874,-0.87004,-1.7955712,-0.26176137,-1.3137928,0.44917712,-0.5856943,-1.3640198,-1.3717529,-1.0636884,-0.73354554,-0.8440778,1.1222403
2544666,2.494589,0.48774508,-2.8420725,0.87971705,-1.3382697,0.82785857,2.1565495,1.7144601,-0.7224751,0.7770963,-0.2545038,1.1802707,2.0937746,1.3023943,1.0367024,1.3560079,-1.7655238,-1.6997484,0.79134035,-0.65267384,0.14722778,-0.4316823,-0.6237232,1.7269069,3.1741807,-0.08269143,0.8856832,-1.5911669,0.6372105,0.97839963,0.2774949,-2.1514552
2544721,1.9511018,3.3931668,1.7543873,-0.5329127,-2.5280561,-2.10081,0.08906163,0.5547731,1.7288473,3.3703227,2.0645645,1.6836445,-4.5223904,2.612335,-0.6297873,-0.83199096,-0.760676,-0.23031017,-2.6177444,1.679784,-0.93812954,-3.442429,1.2383974,-3.246139,-0.086420864,0.29376793,-1.5210053,-2.8819273,-2.720643,-0.71630275,-2.6748226,1.1691117
2545062,2.6185877,-0.086082466,-3.489675,1.8300545,-0.3409819,1.2750626,2.0238037,1.0996109,0.19695216,0.9104569,-0.084387474,0.08154817,2.119827,1.1379808,0.39322072,0.9335894,-2.0529687,-2.9676173,0.53873354,-0.63931483,2.3568573,-0.48017755,-0.17979448,1.8057523,3.9094121,-0.10735461,1.1642661,-0.96055365,0.63529265,0.25904003,0.35359216,-2.798662
2545789,-0.5567073,0.33917788,0.70605874,-3.2169008,1.1859936,-2.0922246,0.6394986,2.7629607,-1.2421473,-1.7534647,2.9632323,-3.7559693,1.2426431,0.67670125,-1.8560568,0.54954183,1.6750259,-3.0019314,-1.8738332,-0.7045575,-0.16175207,1.6185862,2.1459017,-2.7503803,-0.092070356,4.449164,2.3464725,-0.31123808,-2.9171119,-0.092968166,1.640902,1.4865274
2546005,-0.19913736,1.097769,1.4125203,-5.031555,-0.63368297,-1.9670829,2.4123101,1.5860318,-0.61811095,-0.735342,2.7975817,-3.5623724,-0.11157627,-1.0387791,-2.9417315,-0.030136125,1.1901888,-2.7496812,-3.314898,-1.6559544,-1.1081891,1.747585,3.3095934,-4.4742465,0.40205023,4.183189,3.7217846,-1.3340617,-3.4096506,-0.5624755,1.507314,1.6872807
2546959,-2.0501757,3.8897843,-1.5232341,0.87765086,0.1848656,0.6636526,0.0683928,-1.9235535,3.0377579,0.048442133,0.5511396,1.5990564,-2.621274,0.90020096,0.47098246,-1.8365891,-0.12584698,-3.7856023,0.6970277,1.5620353,1.512511,-2.6632383,-2.3104794,1.9021664,0.8950749,-0.087442845,0.3346769,-0.41235816,-1.831251,3.1945255,1.7855285,0.74640965
2547633,-2.5056043,5.553552,-0.9457286,0.6560583,-0.074906595,0.38372627,-0.28061804,-1.4407053,1.6645646,1.4173366,-0.10017714,1.3422472,-1.9075342,1.1223634,-0.08899523,-2.421479,0.6009459,-4.5575595,-0.20220597,4.049886,1.6971153,-3.4539416,-2.5175414,2.2752519,1.6878517,-0.035128534,0.5257618,0.31128,-1.7694452,2.5222347,2.379812,1.3537788
2547739,-0.7482278,-0.44514436,-0.55794877,0.4035718,0.9052409,-0.17148414,-0.20209055,0.5509702,0.59378517,-0.5095708,-0.17107674,0.40840012,-0.064928494,-0.4713582,-0.53847325,0.15170819,0.7337774,0.27152875,0.46370846,-0.51766056,-0.3494948,-0.4286357,-0.22217742,-0.130256,0.10023944,-0.6904732,-0.48284113,-0.20912385,-0.23903927,-0.17104082,0.23955946,-0.023928843
2547752,-1.8594908,4.771812,-0.8896914,0.015496833,0.047107227,0.43473727,-0.009542402,-1.3151889,1.5044225,1.2935312,0.0060319044,0.83402413,-1.9921628,0.95339066,0.32793316,-1.7724457,0.6060833,-3.6588209,0.4266975,2.416639,1.2985045,-3.2639391,-1.6652998,1.7247801,0.76173353,-0.057768255,0.98897225,-0.047213495,-1.5704951,2.7778606,2.448541,0.8972193
2548671,0.13791366,-1.2543688,1.7032335,0.6929134,0.14360651,2.9573247,0.16375285,-4.53637,1.5771089,-3.1938925,-1.7723067,-0.022453066,2.390122,-0.85563284,0.21031561,2.8991826,-2.3938344,-0.65243727,0.60361147,-2.3652065,-0.06786442,-1.1204792,-2.6073916,-1.6606838,0.7979186,0.023505483,-0.8323362,-1.8049351,0.67512494,-0.20487688,-2.1795394,1.5636652
2550468,0.11148966,1.1655157,-0.67405397,1.1469233,-2.9590251,0.3656599,0.562894,0.03447074,-1.0926892,-2.519978,0.49056184,-2.354652,-0.038579,2.7667642,-1.2416335,0.77335936,1.9337782,0.9893425,0.2819243,-0.30575857,-0.71305406,0.6642363,1.9715978,1.8403599,-1.6288617,0.6346122,0.122134276,-1.3404874,-0.76516235,0.49183345,2.7074528,-2.4597237
2551038,3.4595582,0.022668175,-3.9435005,1.301505,0.24479444,1.1498638,2.8196654,0.9693342,-0.089518756,-0.076683,-1.2041701,-0.46018606,2.2403693,0.24236009,1.2194619,0.9034984,-2.244543,-2.720702,1.06081,0.3653896,1.6963068,1.1920377,0.4032692,1.0295098,3.5700424,0.5789344,3.126817,-1.0577431,1.161445,-0.31821695,0.451608,-3.686438
